food,calories,protein,fat,carbs
egg duck whole omlet,804.0,15.1,14.8,0.0
egg poultry omlet,710.0,16.53,11.6,0.0
egg poultry white,203.5,11.605,0.16,0.0
egg poultry whole,591.0,13.355,9.844999999999999,0.0
egg poultry yolk,1266.0,15.934999999999999,26.9,0.0
egg quial whole,641.0,12.71,11.48,0.0
egg white dried,376.0,79.9,0.65,6.02
egg white frozen urized,48.0,10.1,0.16,0.74
egg whole dried,575.0,48.1,39.8,1.87
egg whole frozen urized,150.0,12.3,10.3,0.91
egg yolk dried,654.0,34.2,55.5,1.07
egg yolk frozen urized,296.0,15.6,25.1,0.59
eggs cat fish,600.0,24.68,5.28,0.0
eggs grade a large egg white,55.0,10.7,0.0,2.36
eggs grade a large egg whole,148.0,12.4,9.96,0.96
eggs grade a large egg yolk,334.0,16.2,28.8,1.02
emu meat,556.0,22.65,4.62,0.0
eri meen,454.0,22.3,2.02,0.0
fenugreek leaves,144.0,3.68,0.83,2.17
fenugreek seeds,983.0,25.41,5.72,10.57
field bean black,1155.0,19.93,0.92,43.46
field bean brown,1184.0,19.9,0.98,45.24
field bean white,1173.0,19.84,0.94,44.53
field beans tender,140.0,3.71,0.6,2.85
field beans tender broad,129.0,3.06,0.64,2.75
fig,341.0,2.03,0.37,16.28
figs dried un,249.0,3.3,0.92,63.9
fish,206.0,22.0,12.0,0.0
fish haddock,74.0,16.3,0.45,0.0
fish pollock,56.0,12.3,0.41,0.0
fish tuna light canned in water drained solids,90.0,19.0,0.94,0.08
flour bread white enriched unbleached,363.0,14.3,1.65,72.8
flour corn yellow fine meal enriched,364.0,6.2,1.74,80.8
flour pastry unenriched unbleached,358.0,8.75,1.64,77.2
flour rice brown,365.25,7.19,3.85,75.5
flour rice glutinous,358.0,6.69,1.16,80.1
flour rice white unenriched,359.0,6.94,1.3,79.8
flour soy defatted,366.0,51.1,3.33,32.9
flour soy full fat,452.0,38.6,20.7,27.9
flour wheat all purpose enriched bleached,366.0,10.9,1.48,77.3
flour wheat all purpose enriched unbleached,358.0,13.1,1.48,73.2
flour wheat all purpose unenriched unbleached,362.0,12.0,1.7,74.6
flour whole wheat unenriched,370.0,15.1,2.73,71.2
frankfurter beef unheated,314.0,11.7,28.0,2.89
french beans country,102.0,2.49,0.26,2.68
french beans hybrid,93.0,2.12,0.19,2.63
garam masala,350.0,10.0,15.0,50.0
garden cress,208.0,5.62,0.8,4.48
garden cress seeds,1863.0,23.36,23.74,33.66
garlic,147.5,6.455,0.47,31.8
garlic big clove,518.0,6.92,0.16,21.93
garlic single clove kashmir,523.0,6.12,0.16,23.46
garlic small clove,514.0,6.75,0.14,21.84
ghee,675.0,0.0,75.0,0.0
gingelly oil,0.0,0.0,0.0,0.0
gingelly seeds black,2124.0,19.17,43.1,10.29
gingelly seeds brown,2161.0,21.61,43.22,9.76
gingelly seeds white,2174.0,21.7,43.05,10.83
ginger,117.5,1.9050000000000002,0.8125,15.7425
goat brain,533.0,13.82,8.06,0.0
goat chops,568.0,20.39,5.98,0.0
goat heart,492.0,19.38,4.4,0.0
goat kidneys,374.0,15.6,2.93,0.0
goat legs,669.0,22.07,7.94,0.0
goat liver,526.0,20.32,4.88,0.0
goat lungs,401.0,16.86,3.09,0.0
goat meat,143.0,27.0,3.0,0.0
goat shoulder meat,787.0,20.33,11.94,0.0
goat spleen,401.0,18.45,2.37,0.0
goat testis,298.0,12.32,2.39,0.0
goat tongue,789.0,16.63,13.68,0.0
goat tripe,386.0,15.36,3.36,0.0
goat tube,525.0,12.92,8.26,0.0
gobro,362.0,19.37,0.88,0.0
gogu leaves green,152.0,1.86,1.09,4.06
gogu leaves red,153.0,1.85,1.07,4.24
gold fish,396.0,16.91,2.94,0.0
goosberry,99.0,0.34,0.16,4.39
grapefruit juice white canned or bottled unsweetened,37.0,0.55,0.7,7.59
grapes,69.0,0.6,0.2,18.0
grapes seeded round black,254.0,0.76,0.32,13.23
grapes seeded round green,235.0,0.77,0.29,12.19
grapes seeded round red,244.0,0.95,0.29,12.55
grapes seedless oval black,395.0,1.41,0.46,20.48
grapes seedless round black,374.0,1.24,0.35,19.86
grapes seedless round green,224.0,0.62,0.26,11.81
green chilli,40.0,2.0,0.2,9.0
green gram dal,1363.0,23.88,1.35,52.59
green gram whole,1229.0,22.53,1.14,46.13
ground nut,2176.0,23.65,39.63,17.27
groundnut oil,0.0,0.0,0.0,0.0
guava pink flesh,195.0,1.19,0.25,9.14
guava white flesh,135.0,1.44,0.32,5.13
guinea fowl meat with skin,469.0,20.52,3.24,0.0
guitar fish,400.0,22.56,0.44,0.0
ham sliced pre packaged deli meat,106.0,16.7,3.73,0.27
ham sliced restaurant,121.0,19.6,3.68,2.36
hare chops,445.0,20.62,2.55,0.0
hare leg,503.0,20.52,4.16,0.0
hare shoulder,603.0,21.13,6.58,0.0
hilsa,1083.0,21.8,18.49,0.0
horse gram,321.0,22.0,1.5,58.0
horse gram whole,1379.0,21.73,0.62,57.24
